Address,case_opened,zip_code,statusofcase
2317 E 50th St,2019-06-24T00:00:00.000,64130,On Hold
3310 E 59TH ST,2010-03-01T00:00:00.000,64130,Ongoing Case
2212 E 40th St,2019-03-15T00:00:00.000,64130,Notice to Proceed Issued (Asbestos Removal)
4024 Vineyard Dr,2020-12-16T00:00:00.000,64130,Ongoing Case
5909 Agnes Ave,2019-03-25T00:00:00.000,64130,Pre-Bid Process Ongoing
5137 WALROND AVE,2013-03-19T00:00:00.000,64130,Repair Case w/Enforcement
4237 Euclid Ave,2020-10-05T00:00:00.000,64130,Pre-Bid Process Ongoing
5905 Wabash Ave,2020-02-04T00:00:00.000,64130,Rehab By Owner In Progress
3304 E 60th St,2018-03-12T00:00:00.000,64130,Rehab By Owner In Progress
4340 Garfield Ave,2021-05-25T00:00:00.000,64130,Ongoing Case
5712 Garfield Ave,2021-02-25T00:00:00.000,64130,Ongoing Case
3920 Brooklyn Ave,2020-07-22T00:00:00.000,64130,Pre-Bid Process Ongoing
4024 Bellefontaine Ave,2020-09-29T00:00:00.000,64130,Ongoing Case
4146 South Benton Ave,2020-02-26T00:00:00.000,64130,Pre-Bid Process Ongoing
6004 Park Ave,2021-03-09T00:00:00.000,64130,Ongoing Case
4833 Brooklyn Ave,2020-03-10T00:00:00.000,64130,Rehab By Owner In Progress
3623 E 58th Ter,2020-07-20T00:00:00.000,64130,Ongoing Case
4501 E 60th St,2019-10-07T00:00:00.000,64130,Pre-Bid Process Ongoing
5404 Blue Parkway,2019-01-25T00:00:00.000,64130,Notice to Proceed Issued (Demolition)
3936 Olive St,2020-03-03T00:00:00.000,64130,Rehab By Owner In Progress
4001 South Benton Ave,2021-03-04T00:00:00.000,64130,Ongoing Case
5222 Norton Ave,2020-06-18T00:00:00.000,64130,Rehab By Owner In Progress
5919 Kensington Ave,2021-04-07T00:00:00.000,64130,Ongoing Case
3838 E 56th St,2020-09-08T00:00:00.000,64130,Rehab By Owner In Progress
4139 South Benton Ave,2021-03-17T00:00:00.000,64130,Ongoing Case
5431 EUCLID AVE,2012-02-28T00:00:00.000,64130,Repair Case w/Enforcement
5700 Swope Pkwy,2021-05-10T00:00:00.000,64130,Ongoing Case
5549 Wabash Ave,2020-04-09T00:00:00.000,64130,Pre-Bid Process Ongoing
5823 Prospect Ave,2020-06-26T00:00:00.000,64130,Pre-Bid Process Ongoing
6129 Chestnut Ave,2020-12-08T00:00:00.000,64130,Pre-Bid Process Ongoing
4411 Olive St,2020-09-17T00:00:00.000,64130,Pre-Bid Process Ongoing
5009 Bellefontaine Ave,2017-04-17T00:00:00.000,64130,Pre-Bid Process Ongoing
5617 E 40th St,2020-06-15T00:00:00.000,64130,Pre-Bid Process Ongoing
3933 Vineyard Rd.,2020-08-19T00:00:00.000,64130,Ongoing Case
2104 E 59th St,2018-08-24T00:00:00.000,64130,Rehab By Owner In Progress
4425 Kensington Ave,2020-03-03T00:00:00.000,64130,Pre-Bid Process Ongoing
3201 E 60th St,2020-05-14T00:00:00.000,64130,Pre-Bid Process Ongoing
6031 Swope Parkway,2018-10-11T00:00:00.000,64130,Pre-Bid Process Ongoing
4144 Brooklyn Ave,2021-02-25T00:00:00.000,64130,Ongoing Case
4625 South Benton Ave,2021-02-18T00:00:00.000,64130,Ongoing Case
5551 Wabash Ave,2020-04-09T00:00:00.000,64130,On Hold
4236 E 58th St,2020-09-01T00:00:00.000,64130,Notice to Proceed Issued (Demolition)
2809 E 39th St,2019-10-10T00:00:00.000,64130,Rehab By Owner In Progress
6233 South Benton Ave,2019-08-23T00:00:00.000,64130,Rehab By Owner In Progress
4522 Cypress Ave,2020-04-09T00:00:00.000,64130,Pre-Bid Process Ongoing
4329 Garfield Ave,2017-07-24T00:00:00.000,64130,Rehab By Owner In Progress
5004 Walrond Ave,2019-11-01T00:00:00.000,64130,Notice to Proceed Issued (Asbestos Removal)
4241 Brooklyn Ave,2020-02-18T00:00:00.000,64130,Pre-Bid Process Ongoing
5728 Park Ave,2020-12-10T00:00:00.000,64130,Ongoing Case
5628 E 40th St,2021-02-16T00:00:00.000,64130,Ongoing Case
5819 Jackson Ave,2020-03-26T00:00:00.000,64130,Pre-Bid Process Ongoing
5439 Woodland Ave,2021-04-02T00:00:00.000,64130,Ongoing Case
4543 Chestnut Ave,2020-04-30T00:00:00.000,64130,Ongoing Case
5931 Lawn Ave,2021-04-12T00:00:00.000,64130,Ongoing Case
4442 South Benton Ave,2016-09-21T00:00:00.000,64130,Rehab By Owner In Progress
4116 E 59th St,2016-12-05T00:00:00.000,64130,Ongoing Case
5607 Olive St,2021-03-09T00:00:00.000,64130,Ongoing Case
4943 Michigan Ave,2021-02-09T00:00:00.000,64130,Ongoing Case
4218 Lawn Ave,2020-09-11T00:00:00.000,64130,Pre-Bid Process Ongoing
4007 South Benton Ave,2019-08-23T00:00:00.000,64130,Pre-Bid Process Ongoing
4126 College Ave,2019-11-26T00:00:00.000,64130,Pre-Bid Process Ongoing
5020 Bellefontaine Ave,2019-12-30T00:00:00.000,64130,Rehab By Owner In Progress
5337 Euclid Ave,2018-07-09T00:00:00.000,64130,Pre-Bid Process Ongoing
4215 E 60th St,2020-07-13T00:00:00.000,64130,Rehab By Owner In Progress
4627 ChestnutAve,2021-02-12T00:00:00.000,64130,Ongoing Case
5834 Indiana Ave,2017-05-23T00:00:00.000,64130,Rehab By Owner In Progress
5811 Prospect Ave,2021-04-27T00:00:00.000,64130,Ongoing Case
