Address,caseOpened,zipCode,statusofcase,neighborhood
1414 E 30th St,2016-11-09T00:00:00.000,64109,On Hold,Ivanhoe Southwest/Southeast
2733 Olive St,2019-08-22T00:00:00.000,64109,Rehab By Owner In Progress,Ivanhoe Southwest/Southeast
1311 MANHEIM RD,2014-07-31T00:00:00.000,64109,On Hold,Ivanhoe Southwest/Southeast
3301 Woodland Ave,2017-11-21T00:00:00.000,64109,Rehab By Owner In Progress,Ivanhoe Southwest/Southeast
911 E Linwood Blvd,2017-10-27T00:00:00.000,64109,On Hold,Ivanhoe Southwest/Southeast
3855 Woodland Ave,2021-04-19T00:00:00.000,64109,Ongoing Case,Ivanhoe Southwest/Southeast
3012 Brooklyn Ave,2019-11-12T00:00:00.000,64109,Demolition By Owner In Progress,Ivanhoe Southwest/Southeast
3222 Troost Ave,2019-09-03T00:00:00.000,64109,Rehab By Owner In Progress,Ivanhoe Southwest/Southeast
3303 Harrison St,2017-10-23T00:00:00.000,64109,On Hold,Ivanhoe Southwest/Southeast
2746 Brooklyn Ave,2017-09-19T00:00:00.000,64109,Repair Case w/Enforcement,Ivanhoe Southwest/Southeast
3322 Brooklyn Ave,2020-05-19T00:00:00.000,64109,Pre-Bid Process Ongoing,Ivanhoe Southwest/Southeast
2119 E Linwood Blvd,2021-04-15T00:00:00.000,64109,Ongoing Case,Ivanhoe Southwest/Southeast
3626 Michigan Ave,2017-08-21T00:00:00.000,64109,Rehab By Owner In Progress,Ivanhoe Southwest/Southeast
2929 Park Ave,2014-07-21T00:00:00.000,64109,Pre-Bid Process Ongoing,Ivanhoe Southwest/Southeast
3015 Garfield Ave,2018-05-23T00:00:00.000,64109,Pre-Bid Process Ongoing,Ivanhoe Southwest/Southeast
2409 E 27TH ST,2021-03-25T00:00:00.000,64109,Notice to Proceed Issued (Asbestos Removal),Ivanhoe Southwest/Southeast
2912 PASEO,2014-02-07T00:00:00.000,64109,Rehab By Owner In Progress,Ivanhoe Southwest/Southeast
3337 Flora Ave,2020-11-23T00:00:00.000,64109,Rehab By Owner In Progress,Ivanhoe Southwest/Southeast
