Address,caseOpened,zipCode,statusofcase,neighborhood
4311 Wayne Ave,2021-03-04T00:00:00.000,64110,Ongoing Case,Blue Hills
6040 Forest Ave,2020-12-02T00:00:00.000,64110,Pre-Bid Process Ongoing,Blue Hills
5227 Highland Ave,2020-04-16T00:00:00.000,64110,Pre-Bid Process Ongoing,Blue Hills
4337 TROOST AVE,2008-01-24T00:00:00.000,64110,Rehab By Owner In Progress,Blue Hills
5500 Harrison St,2018-02-07T00:00:00.000,64110,On Hold,Blue Hills
4447 Virginia Ave,2020-12-15T00:00:00.000,64110,Ongoing Case,Blue Hills
4306 Holmes St,2019-04-22T00:00:00.000,64110,Pre-Bid Process Ongoing,Blue Hills
4341 Flora Ave,2018-12-27T00:00:00.000,64110,Notice to Proceed Issued (Asbestos Removal),Blue Hills
3902 Woodland Ave,2020-10-30T00:00:00.000,64110,Pre-Bid Process Ongoing,Blue Hills
4043 Kenwood Ave,2021-05-05T00:00:00.000,64110,Ongoing Case,Blue Hills
5832 Harrison St. (garage only),2019-01-31T00:00:00.000,64110,Notice to Proceed Issued (Asbestos Removal),Blue Hills
4406 Woodland Ave,2019-09-24T00:00:00.000,64110,Pre-Bid Process Ongoing,Blue Hills
